video-id	channel-id	video-title	video-view-count	lang	type	channel-title	text	id
JtUEYFsAzZM	UCafA6dMbAhJQ5emCKAvX1Nw	VACCIN H1N1: le tabou des effets secondaires expliqué par Dr Marc Girard	257	fr	fakeNews	InitiativeCitoyenne	"en le municipalité il y a eu quatre cents ans qui ont reçu le vaccin on a deux qui montrait une hépatique auto immune ceux qui est
absolument tous les ans si je n' ai jamais vu ça hépatites auto immune ça veut dire selon toute probabilité que ces enfants question ils ont quasiment tué leur choix ils vont se retrouver avec une scie rosette ne suffisance hépatiques et alors on nous dit ce qui est extraordinaire on nous dit c' est pas un vaccin
c' est un vaccin qu' est ce qu' il aurait fallu pour qu' on ne dise c' est le vaccin on nous explique qu' il y a une amende qui euh morte en quand on en est rarement lors des tests diamants n' est quand même inquiet quand il décède
c' est qu' est ce qu' il aurait fallu pour accéder aux nous dit il y a sept morts chez les gens lui ou le volontaire sain nous dit que c' est pas le vaccin
qu' est ce qu' il aurait fallu c' est là que ça donc voilà
"	86
vUQzOF2ggCU	UCafA6dMbAhJQ5emCKAvX1Nw	Vaccins H1N1: mis sur le marché bcp trop vite (Dr Marc Girard)	43	fr	fakeNews	InitiativeCitoyenne	"c'
extrêmement expéditif dès le mot où il y a duré euh c' est de moi que ce soit de montre bien moi je ne change rien au fait rien il y a un exemple d' unité spectateurs connaissent tout le monde connaît le prozac ou de protection
le produit semble c' est un c' est ici un un points inactive avec des des estivants pour avec samy quinze ans le quinze août
mais l' avenir en de de vaccins prototypes je vous c' est c' est c' est très divisée
du baratin lorsque justement euh à développer
une vie de proposer je dans le prix des années l' échange le libyen le ils ont ils c' est lubie bouleversant quelques semaines ils en sont restés debout trouver
"	106
