nb_fakewords	ponctuation	partage	topic_title_sim	label	id	sim_tfidf	sim_texte_tittre	label1	proba1	label2	proba2	source
4	False	0	0.609185809192	trusted	5678	168	0.2871443656958882	trusted	0.790706	fakeNews	0.209314	fr
1	False	0	0.719206291039	trusted	4368	31	0.31802064843570166	trusted	0.712816	fakeNews	0.287204	fr
5	False	0	0.728705086847	trusted	5273	2	0.4053706219298007	trusted	0.845154	fakeNews	0.154866	fr
4	False	0	0.741708385752	fakeNews	5180	6	0.3214016529081585	trusted	0.370582	fakeNews	0.629438	fr
1	False	0	0.708015941892	trusted	5171	17	0.3745375048523722	trusted	0.973719	fakeNews	0.0263012	fr
1	False	0	0.841551127461	trusted	5923	4	0.36468184560121314	trusted	0.755266	fakeNews	0.244754	fr
2	False	0	0.571252499749	trusted	4392	167	0.3278352047149542	trusted	0.76502	fakeNews	0.235	fr
0	False	0	0.481326125033	trusted	5842	4	0.28407769724325854	trusted	0.952121	fakeNews	0.0478994	fr
2	False	0	0.788496904048	trusted	5517	37	0.344887884916546	trusted	0.457656	fakeNews	0.542364	fr
0	False	0	0.756033405809	trusted	5574	10	0.4038937051342292	trusted	0.885035	fakeNews	0.114985	fr
32	False	0	0.656814293665	fakeNews	5426	3	0.3380736158260067	trusted	0.125686	fakeNews	0.874334	fr
1	False	0	0.519944458053	trusted	5516	2	0.30063958731232493	trusted	0.748722	fakeNews	0.251298	fr
0	False	0	0.739162321634	trusted	5863	5	0.38225799358075196	trusted	0.933304	fakeNews	0.0667161	fr
1	False	0	0.775907585128	trusted	5172	30	0.38907190045975776	trusted	0.8142	fakeNews	0.18582	fr
0	False	0	0.647602517627	trusted	5780	8	0.3403239111425921	trusted	0.749331	fakeNews	0.250689	fr
0	False	0	0.734551533421	trusted	5549	114	0.3947330657668291	trusted	0.857741	fakeNews	0.142279	fr
4	False	0	0.633488201898	trusted	4998	2	0.3510548224634863	trusted	0.862695	fakeNews	0.137325	fr
0	False	0	0.802937758062	trusted	5205	2	0.33673204403925416	trusted	0.930914	fakeNews	0.0691059	fr
0	False	0	0.731407117204	trusted	5742	1	0.37350248939475744	trusted	0.785354	fakeNews	0.214666	fr
1	False	0	0.835840397692	trusted	6040	4	0.3998471212855939	trusted	0.895413	fakeNews	0.104607	fr
