nb_fakewords	ponctuation	partage
4	False	0
1	False	0
5	False	0
4	False	0
1	False	0
1	False	0
2	False	0
0	False	0
2	False	0
0	False	0
32	False	0
1	False	0
0	False	0
1	False	0
0	False	0
0	False	0
4	False	0
0	False	0
0	False	0
1	False	0
0	False	0
0	False	0
4	False	0
0	False	0
17	False	0
0	False	0
0	False	0
12	True	0
22	True	0
0	False	0
2	False	0
28	False	0
0	False	0
0	False	0
1	False	0
1	False	0
0	False	0
35	False	0
0	False	0
4	False	0
3	False	0
32	False	1
2	False	0
2	False	0
13	True	0
4	False	0
12	False	0
0	False	0
0	False	0
0	False	0
35	False	0
0	True	0
0	False	0
0	False	0
0	False	0
32	False	1
68	False	0
1	False	1
0	False	0
4	False	0
15	False	0
5	False	0
2	False	0
0	False	0
0	False	0
0	False	0
1	False	0
1	False	0
6	False	1
2	False	0
3	False	0
26	False	0
27	False	0
0	False	0
53	True	0
14	True	0
0	False	0
5	False	0
6	False	0
0	False	0
0	False	0
2	False	0
1	False	0
31	True	0
0	False	0
0	False	0
11	False	0
2	False	0
18	True	0
0	False	0
0	False	0
0	False	0
0	False	0
4	False	0
1	False	0
3	False	0
0	False	0
10	False	0
1	False	0
36	False	0
2	False	0
0	False	0
5	False	0
0	False	0
1	False	1
7	False	0
7	True	0
1	False	0
0	False	0
1	False	0
0	False	0
2	False	0
70	True	1
1	False	0
1	False	0
0	False	0
3	False	0
4	False	0
2	False	0
0	False	0
0	False	0
3	True	1
1	False	0
1	False	0
0	False	0
0	False	0
0	False	0
2	False	1
0	False	0
0	False	0
0	False	0
2	False	0
1	False	1
1	False	0
0	False	0
3	True	0
0	False	0
1	False	0
2	False	0
0	False	0
1	False	0
1	False	0
1	False	0
0	False	0
0	False	0
1	False	0
2	False	0
25	False	0
1	False	0
0	False	0
0	False	0
0	False	0
15	False	0
0	False	0
17	False	0
0	False	0
39	True	0
7	False	0
23	False	0
18	False	0
1	False	0
1	False	0
4	False	0
2	False	0
1	False	0
2	False	0
0	False	0
11	False	0
0	False	0
1	False	0
0	False	0
0	False	0
3	False	0
0	False	0
0	False	0
0	False	0
2	False	0
4	False	0
75	False	1
1	False	0
2	False	0
1	False	0
0	False	0
0	False	0
53	True	0
0	False	0
6	False	0
0	False	0
0	False	0
71	True	0
14	False	0
0	False	0
0	False	0
8	False	1
0	False	0
1	False	0
9	False	0
0	False	0
0	False	0
0	False	0
0	False	0
0	False	0
1	False	0
0	False	0
1	False	1
56	True	1
0	False	0
0	False	0
4	False	0
96	False	0
3	False	0
9	True	0
10	False	0
1	False	0
6	False	1
1	False	0
1	False	0
0	False	0
0	False	0
3	False	0
0	False	0
21	False	0
1	False	0
67	False	0
0	False	0
4	False	0
1	False	0
0	False	0
1	False	0
7	False	0
15	False	0
4	True	0
0	False	0
6	False	0
12	False	1
43	True	1
22	True	1
0	False	0
2	False	0
46	True	4
0	False	0
19	False	1
25	False	0
0	False	0
26	False	0
0	False	0
0	False	0
12	False	0
21	True	1
2	False	0
0	False	0
0	False	0
12	False	1
0	False	0
1	False	0
2	False	0
1	False	0
0	False	0
2	False	0
4	False	0
2	False	1
0	False	0
0	False	0
2	False	0
0	False	0
79	False	0
0	False	1
1	False	0
26	False	0
27	True	2
2	False	0
0	False	0
35	False	0
2	False	1
1	False	0
10	False	0
0	False	0
2	False	0
0	False	0
3	False	0
3	False	0
2	False	0
4	False	0
0	False	0
2	False	0
11	False	0
0	False	0
2	False	0
0	False	0
35	False	0
9	False	0
102	False	0
1	False	0
0	False	0
1	False	0
0	False	0
6	False	0
29	False	0
1	False	0
0	False	0
0	False	0
24	False	0
0	False	0
0	False	1
4	False	0
0	False	0
0	False	0
1	False	0
0	False	0
4	False	0
0	False	0
0	False	0
1	False	0
2	False	0
4	False	0
1	False	0
0	False	0
0	False	0
1	False	0
0	False	0
0	False	0
0	False	0
0	False	0
7	False	0
0	False	0
0	False	0
1	False	0
0	True	0
3	False	0
0	False	0
4	False	0
1	False	0
5	False	0
4	False	0
8	True	0
0	False	0
18	False	0
0	False	1
5	False	0
2	False	0
2	False	0
18	False	1
1	False	0
0	False	0
1	False	0
0	False	0
2	False	0
2	False	0
0	False	0
0	False	0
4	False	0
2	False	0
3	False	0
0	False	0
6	False	0
0	False	0
0	False	0
3	False	0
0	False	0
0	False	0
3	False	0
53	True	0
1	False	0
1	False	0
1	False	0
0	False	0
2	False	0
21	False	1
1	False	0
2	False	0
1	False	0
4	True	0
17	False	0
0	False	0
0	False	0
2	False	0
2	False	0
0	False	0
9	False	0
0	False	0
0	False	0
5	False	0
2	False	0
23	False	3
0	False	0
3	False	0
2	False	1
0	False	0
1	False	0
1	False	0
16	False	0
0	False	0
12	False	0
0	False	0
0	False	0
1	False	0
18	False	0
7	False	0
0	False	0
0	False	0
1	False	0
0	False	0
0	False	0
14	False	0
0	False	0
1	False	0
0	False	0
1	False	0
1	False	0
3	False	0
54	False	0
0	False	1
0	False	0
0	False	0
1	False	0
7	True	0
3	False	0
8	False	0
1	False	0
0	False	0
10	False	0
7	False	1
0	False	0
0	False	0
0	False	0
71	False	0
0	False	0
0	False	0
5	False	0
0	False	0
9	False	0
0	False	0
0	False	0
0	False	0
0	False	0
0	False	0
39	False	0
21	False	0
0	False	0
1	False	0
0	False	0
7	False	0
48	False	0
0	False	0
6	False	0
24	False	0
0	False	0
1	False	0
1	False	0
2	False	0
197	True	0
45	False	0
32	False	0
12	False	0
1	False	0
56	False	0
0	False	0
0	False	0
0	False	0
0	False	0
0	False	0
4	False	0
6	True	0
0	False	0
0	False	0
0	False	0
6	False	0
2	False	1
8	False	0
8	False	0
