label1	proba1	label2	proba2	source
trusted	0.790706	fakeNews	0.209314	fr
trusted	0.712816	fakeNews	0.287204	fr
trusted	0.845154	fakeNews	0.154866	fr
trusted	0.370582	fakeNews	0.629438	fr
trusted	0.973719	fakeNews	0.0263012	fr
trusted	0.755266	fakeNews	0.244754	fr
trusted	0.76502	fakeNews	0.235	fr
trusted	0.952121	fakeNews	0.0478994	fr
trusted	0.457656	fakeNews	0.542364	fr
trusted	0.885035	fakeNews	0.114985	fr
trusted	0.125686	fakeNews	0.874334	fr
trusted	0.748722	fakeNews	0.251298	fr
trusted	0.933304	fakeNews	0.0667161	fr
trusted	0.8142	fakeNews	0.18582	fr
trusted	0.749331	fakeNews	0.250689	fr
trusted	0.857741	fakeNews	0.142279	fr
trusted	0.862695	fakeNews	0.137325	fr
trusted	0.930914	fakeNews	0.0691059	fr
trusted	0.785354	fakeNews	0.214666	fr
trusted	0.895413	fakeNews	0.104607	fr
trusted	0.530155	fakeNews	0.469865	fr
trusted	0.897954	fakeNews	0.102067	fr
trusted	0.587384	fakeNews	0.412636	fr
trusted	0.818149	fakeNews	0.181871	fr
trusted	0.340935	fakeNews	0.659085	fr
trusted	0.678934	fakeNews	0.321086	fr
trusted	0.917376	fakeNews	0.0826437	fr
trusted	0.111575	fakeNews	0.888445	fr
trusted	0.393646	fakeNews	0.606374	fr
trusted	0.80823	fakeNews	0.19179	fr
trusted	0.469721	fakeNews	0.530299	fr
trusted	0.252518	fakeNews	0.747502	fr
trusted	0.684322	fakeNews	0.315698	fr
trusted	0.825933	fakeNews	0.174088	fr
trusted	0.879633	fakeNews	0.120387	fr
trusted	0.882094	fakeNews	0.117926	fr
trusted	0.886914	fakeNews	0.113106	fr
trusted	0.496235	fakeNews	0.503785	fr
trusted	0.883715	fakeNews	0.116305	fr
trusted	0.911873	fakeNews	0.0881475	fr
trusted	0.699712	fakeNews	0.300308	fr
trusted	0.387065	fakeNews	0.612955	fr
trusted	0.730486	fakeNews	0.269534	fr
trusted	0.776275	fakeNews	0.223745	fr
trusted	0.586392	fakeNews	0.413628	fr
trusted	0.530629	fakeNews	0.469391	fr
trusted	0.314196	fakeNews	0.685824	fr
trusted	0.867996	fakeNews	0.132024	fr
trusted	0.876054	fakeNews	0.123966	fr
trusted	0.833501	fakeNews	0.166519	fr
trusted	0.214554	fakeNews	0.785466	fr
trusted	0.953418	fakeNews	0.046602	fr
trusted	0.847469	fakeNews	0.152551	fr
trusted	0.873596	fakeNews	0.126424	fr
trusted	0.929755	fakeNews	0.0702645	fr
trusted	0.462695	fakeNews	0.537325	fr
trusted	0.351226	fakeNews	0.648794	fr
trusted	0.795423	fakeNews	0.204597	fr
trusted	0.89208	fakeNews	0.10794	fr
trusted	0.180484	fakeNews	0.819536	fr
trusted	0.211951	fakeNews	0.788069	fr
trusted	0.303694	fakeNews	0.696326	fr
trusted	0.982784	fakeNews	0.0172359	fr
trusted	0.971755	fakeNews	0.0282655	fr
trusted	0.893599	fakeNews	0.106421	fr
trusted	0.739064	fakeNews	0.260956	fr
trusted	0.614639	fakeNews	0.385381	fr
trusted	0.805086	fakeNews	0.194934	fr
trusted	0.344012	fakeNews	0.656008	fr
trusted	0.770048	fakeNews	0.229972	fr
trusted	0.849515	fakeNews	0.150505	fr
trusted	0.331715	fakeNews	0.668305	fr
trusted	0.512193	fakeNews	0.487827	fr
trusted	0.940238	fakeNews	0.0597817	fr
trusted	0.849689	fakeNews	0.150331	fr
trusted	0.368223	fakeNews	0.631797	fr
trusted	0.532588	fakeNews	0.467432	fr
trusted	0.755494	fakeNews	0.244526	fr
trusted	0.589661	fakeNews	0.410359	fr
trusted	0.792683	fakeNews	0.207337	fr
trusted	0.145925	fakeNews	0.854095	fr
trusted	0.848464	fakeNews	0.151556	fr
trusted	0.52551	fakeNews	0.47451	fr
trusted	0.147584	fakeNews	0.852436	fr
trusted	0.867047	fakeNews	0.132973	fr
trusted	0.857411	fakeNews	0.142609	fr
trusted	0.455593	fakeNews	0.544427	fr
trusted	0.696806	fakeNews	0.303214	fr
trusted	0.0406915	fakeNews	0.959329	fr
trusted	0.851259	fakeNews	0.148761	fr
trusted	0.667409	fakeNews	0.332611	fr
trusted	0.808031	fakeNews	0.191989	fr
trusted	0.749331	fakeNews	0.250689	fr
trusted	0.488837	fakeNews	0.511183	fr
trusted	0.487592	fakeNews	0.512428	fr
trusted	0.2589	fakeNews	0.741121	fr
trusted	0.8224	fakeNews	0.17762	fr
trusted	0.289875	fakeNews	0.710145	fr
trusted	0.731958	fakeNews	0.268062	fr
trusted	0.225625	fakeNews	0.774395	fr
trusted	0.0338622	fakeNews	0.966158	fr
trusted	0.82998	fakeNews	0.17004	fr
trusted	0.543105	fakeNews	0.456915	fr
trusted	0.94794	fakeNews	0.0520801	fr
trusted	0.695576	fakeNews	0.304444	fr
trusted	0.725113	fakeNews	0.274907	fr
trusted	0.90128	fakeNews	0.0987402	fr
trusted	0.846935	fakeNews	0.153085	fr
trusted	0.774668	fakeNews	0.225353	fr
trusted	0.518881	fakeNews	0.481139	fr
trusted	0.891689	fakeNews	0.108332	fr
trusted	0.982662	fakeNews	0.0173577	fr
trusted	0.109161	fakeNews	0.890859	fr
trusted	0.606591	fakeNews	0.393429	fr
trusted	0.349646	fakeNews	0.650374	fr
trusted	0.901955	fakeNews	0.098065	fr
trusted	0.866374	fakeNews	0.133646	fr
trusted	0.368759	fakeNews	0.631261	fr
trusted	0.937334	fakeNews	0.0626864	fr
trusted	0.862019	fakeNews	0.138001	fr
trusted	0.859712	fakeNews	0.140308	fr
trusted	0.442877	fakeNews	0.557143	fr
trusted	0.0865275	fakeNews	0.913493	fr
trusted	0.551749	fakeNews	0.448271	fr
trusted	0.952402	fakeNews	0.0476181	fr
trusted	0.973475	fakeNews	0.026545	fr
trusted	0.889279	fakeNews	0.110741	fr
trusted	0.983134	fakeNews	0.0168861	fr
trusted	0.724687	fakeNews	0.275333	fr
trusted	0.933407	fakeNews	0.0666134	fr
trusted	0.749331	fakeNews	0.250689	fr
trusted	0.495894	fakeNews	0.504126	fr
trusted	0.939975	fakeNews	0.0600451	fr
trusted	0.648848	fakeNews	0.351172	fr
trusted	0.771968	fakeNews	0.228052	fr
trusted	0.727626	fakeNews	0.272394	fr
trusted	0.938626	fakeNews	0.0613939	fr
trusted	0.78773	fakeNews	0.21229	fr
trusted	0.807928	fakeNews	0.192092	fr
trusted	0.883856	fakeNews	0.116164	fr
trusted	0.443966	fakeNews	0.556054	fr
trusted	0.840281	fakeNews	0.159739	fr
trusted	0.966406	fakeNews	0.0336141	fr
trusted	0.75045	fakeNews	0.24957	fr
trusted	0.8271	fakeNews	0.17292	fr
trusted	0.721332	fakeNews	0.278688	fr
trusted	0.890107	fakeNews	0.109913	fr
trusted	0.466621	fakeNews	0.533399	fr
trusted	0.875718	fakeNews	0.124302	fr
trusted	0.665819	fakeNews	0.334201	fr
trusted	0.897613	fakeNews	0.102407	fr
trusted	0.826774	fakeNews	0.173246	fr
trusted	0.1853	fakeNews	0.81472	fr
trusted	0.90897	fakeNews	0.0910502	fr
trusted	0.437174	fakeNews	0.562846	fr
trusted	0.885035	fakeNews	0.114985	fr
trusted	0.31451	fakeNews	0.68551	fr
trusted	0.340077	fakeNews	0.659944	fr
trusted	0.142015	fakeNews	0.858005	fr
trusted	0.306416	fakeNews	0.693604	fr
trusted	0.513173	fakeNews	0.486847	fr
trusted	0.860417	fakeNews	0.139604	fr
trusted	0.206349	fakeNews	0.793671	fr
trusted	0.837239	fakeNews	0.162781	fr
trusted	0.52551	fakeNews	0.47451	fr
trusted	0.804161	fakeNews	0.195859	fr
trusted	0.561081	fakeNews	0.438939	fr
trusted	0.492177	fakeNews	0.507843	fr
trusted	0.90321	fakeNews	0.0968104	fr
trusted	0.548786	fakeNews	0.451234	fr
trusted	0.863832	fakeNews	0.136188	fr
trusted	0.947049	fakeNews	0.0529712	fr
trusted	0.251389	fakeNews	0.748631	fr
trusted	0.145925	fakeNews	0.854095	fr
trusted	0.341361	fakeNews	0.658659	fr
trusted	0.725518	fakeNews	0.274502	fr
trusted	0.631242	fakeNews	0.368778	fr
trusted	0.455344	fakeNews	0.544676	fr
trusted	0.183598	fakeNews	0.816422	fr
trusted	0.670272	fakeNews	0.329748	fr
trusted	0.628427	fakeNews	0.371593	fr
trusted	0.420189	fakeNews	0.579831	fr
trusted	0.771968	fakeNews	0.228052	fr
trusted	0.788702	fakeNews	0.211318	fr
trusted	0.850212	fakeNews	0.149808	fr
trusted	0.931746	fakeNews	0.0682739	fr
trusted	0.579827	fakeNews	0.420193	fr
trusted	0.876981	fakeNews	0.123039	fr
trusted	0.824185	fakeNews	0.175835	fr
trusted	0.293839	fakeNews	0.706181	fr
trusted	0.32215	fakeNews	0.67787	fr
trusted	0.843857	fakeNews	0.156164	fr
trusted	0.632923	fakeNews	0.367097	fr
trusted	0.197099	fakeNews	0.802921	fr
trusted	0.938325	fakeNews	0.0616947	fr
trusted	0.688386	fakeNews	0.311634	fr
trusted	0.246855	fakeNews	0.753165	fr
trusted	0.973023	fakeNews	0.0269974	fr
trusted	0.937974	fakeNews	0.0620459	fr
trusted	0.633426	fakeNews	0.366594	fr
trusted	0.872356	fakeNews	0.127664	fr
trusted	0.659031	fakeNews	0.340989	fr
trusted	0.935334	fakeNews	0.0646856	fr
trusted	0.620646	fakeNews	0.379374	fr
trusted	0.878294	fakeNews	0.121726	fr
trusted	0.242084	fakeNews	0.757936	fr
trusted	0.939418	fakeNews	0.0606022	fr
trusted	0.913919	fakeNews	0.0861007	fr
trusted	0.535498	fakeNews	0.464522	fr
trusted	0.186418	fakeNews	0.813602	fr
trusted	0.736865	fakeNews	0.263155	fr
trusted	0.410215	fakeNews	0.589805	fr
trusted	0.238214	fakeNews	0.761806	fr
trusted	0.866597	fakeNews	0.133423	fr
trusted	0.648981	fakeNews	0.351039	fr
trusted	0.843316	fakeNews	0.156704	fr
trusted	0.882345	fakeNews	0.117675	fr
trusted	0.853049	fakeNews	0.146971	fr
trusted	0.857036	fakeNews	0.142984	fr
trusted	0.758116	fakeNews	0.241904	fr
trusted	0.674489	fakeNews	0.325531	fr
trusted	0.384899	fakeNews	0.615121	fr
trusted	0.714294	fakeNews	0.285726	fr
trusted	0.227126	fakeNews	0.772894	fr
trusted	0.76607	fakeNews	0.23395	fr
trusted	0.633798	fakeNews	0.366222	fr
trusted	0.770628	fakeNews	0.229392	fr
trusted	0.785999	fakeNews	0.214021	fr
trusted	0.265838	fakeNews	0.734182	fr
trusted	0.553105	fakeNews	0.446915	fr
trusted	0.369914	fakeNews	0.630106	fr
trusted	0.876482	fakeNews	0.123538	fr
trusted	0.869524	fakeNews	0.130496	fr
trusted	0.622432	fakeNews	0.377588	fr
trusted	0.120033	fakeNews	0.879987	fr
trusted	0.263228	fakeNews	0.736792	fr
trusted	0.461311	fakeNews	0.538709	fr
trusted	0.887989	fakeNews	0.112031	fr
trusted	0.676166	fakeNews	0.323854	fr
trusted	0.290819	fakeNews	0.709201	fr
trusted	0.81242	fakeNews	0.1876	fr
trusted	0.553914	fakeNews	0.446106	fr
trusted	0.63914	fakeNews	0.36088	fr
trusted	0.561093	fakeNews	0.438927	fr
trusted	0.141199	fakeNews	0.858821	fr
trusted	0.67831	fakeNews	0.32171	fr
trusted	0.892038	fakeNews	0.107982	fr
trusted	0.0834596	fakeNews	0.91656	fr
trusted	0.38567	fakeNews	0.61435	fr
trusted	0.579729	fakeNews	0.420291	fr
trusted	0.831148	fakeNews	0.168872	fr
trusted	0.891713	fakeNews	0.108307	fr
trusted	0.225614	fakeNews	0.774406	fr
trusted	0.87724	fakeNews	0.12278	fr
trusted	0.798235	fakeNews	0.201785	fr
trusted	0.938243	fakeNews	0.0617773	fr
trusted	0.967925	fakeNews	0.0320954	fr
trusted	0.755061	fakeNews	0.244959	fr
trusted	0.250853	fakeNews	0.749167	fr
trusted	0.434201	fakeNews	0.565819	fr
trusted	0.478337	fakeNews	0.521683	fr
trusted	0.95756	fakeNews	0.0424605	fr
trusted	0.145925	fakeNews	0.854095	fr
trusted	0.631403	fakeNews	0.368617	fr
trusted	0.886269	fakeNews	0.113751	fr
trusted	0.201296	fakeNews	0.798724	fr
trusted	0.874133	fakeNews	0.125887	fr
trusted	0.842992	fakeNews	0.157028	fr
trusted	0.660802	fakeNews	0.339218	fr
trusted	0.386596	fakeNews	0.613424	fr
trusted	0.730885	fakeNews	0.269135	fr
trusted	0.973964	fakeNews	0.026056	fr
trusted	0.223372	fakeNews	0.776648	fr
trusted	0.713492	fakeNews	0.286528	fr
trusted	0.436256	fakeNews	0.563764	fr
trusted	0.455664	fakeNews	0.544356	fr
trusted	0.926077	fakeNews	0.0739429	fr
trusted	0.41004	fakeNews	0.58998	fr
trusted	0.912349	fakeNews	0.0876709	fr
trusted	0.784373	fakeNews	0.215647	fr
trusted	0.558517	fakeNews	0.441503	fr
trusted	0.518326	fakeNews	0.481694	fr
trusted	0.645055	fakeNews	0.354965	fr
trusted	0.974319	fakeNews	0.0257009	fr
trusted	0.799234	fakeNews	0.200786	fr
trusted	0.660463	fakeNews	0.339557	fr
trusted	0.76091	fakeNews	0.23911	fr
trusted	0.692881	fakeNews	0.307139	fr
trusted	0.9711	fakeNews	0.02892	fr
trusted	0.205222	fakeNews	0.794798	fr
trusted	0.545956	fakeNews	0.454064	fr
trusted	0.186246	fakeNews	0.813774	fr
trusted	0.280821	fakeNews	0.719199	fr
trusted	0.925347	fakeNews	0.0746731	fr
trusted	0.910215	fakeNews	0.0898051	fr
trusted	0.905635	fakeNews	0.0943853	fr
trusted	0.349809	fakeNews	0.650211	fr
trusted	0.781828	fakeNews	0.218192	fr
trusted	0.803961	fakeNews	0.196059	fr
trusted	0.927775	fakeNews	0.072245	fr
trusted	0.670512	fakeNews	0.329508	fr
trusted	0.48894	fakeNews	0.51108	fr
trusted	0.782881	fakeNews	0.217139	fr
trusted	0.60039	fakeNews	0.39963	fr
trusted	0.369992	fakeNews	0.630028	fr
trusted	0.613042	fakeNews	0.386978	fr
trusted	0.87944	fakeNews	0.12058	fr
trusted	0.944994	fakeNews	0.0550264	fr
trusted	0.78044	fakeNews	0.21958	fr
trusted	0.626845	fakeNews	0.373175	fr
trusted	0.893411	fakeNews	0.106609	fr
trusted	0.799565	fakeNews	0.200455	fr
trusted	0.921289	fakeNews	0.0787306	fr
trusted	0.600233	fakeNews	0.399787	fr
trusted	0.795086	fakeNews	0.204934	fr
